"university_name, city",university_ege_2017,university_grow_2016_2017,university_gov_stidents_count,university_stidents_compet_count,university_stidents_olimp_count,university_stidents_quot_count,university_stidents_target_count,university_ege_minus_id,university_name,university_city
Ижевская государственная сельскохозяйственная академия,53.1,-0.1,492,416,0,30,46,Нет,Ижевская государственная сельскохозяйственная академия,Не определено
Ижевский государственный технический университет,65.0,0.5,846,634,4,33,175,Нет,Ижевский государственный технический университет,Не определено
"Ингушский государственный университет, г. Магас",63.1,-1.1,494,429,0,39,26,Нет,Ингушский государственный университет, Магас
Иркутский государственный аграрный университет им. А.А. Ежевского,48.2,-0.9,337,316,0,16,5,Нет,Иркутский государственный аграрный университет им. А.А. Ежевского,Не определено
Иркутский государственный медицинский университет,69.5,-0.3,414,194,0,30,190,Да,Иркутский государственный медицинский университет,Не определено
Иркутский государственный университет,63.9,-0.2,1305,1126,1,102,76,Да,Иркутский государственный университет,Не определено
Иркутский государственный университет путей сообщения,55.4,-0.5,710,492,0,18,200,Нет,Иркутский государственный университет путей сообщения,Не определено
Иркутский национальный исследовательский технический университет,64.9,1.3,1301,1043,0,75,183,Да,Иркутский национальный исследовательский технический университет,Не определено
Кабардино-Балкарский государственный аграрный университет им. В.М. Кокова,51.2,1.7,380,341,0,27,12,Нет,Кабардино-Балкарский государственный аграрный университет им. В.М. Кокова,Не определено
"Кабардино-Балкарский государственный университет им. Х.М. Бербекова, г. Нальчик",60.1,2.6,811,712,0,62,37,Нет,Кабардино-Балкарский государственный университет им. Х.М. Бербекова, Нальчик
Казанская государственная академия ветеринарной медицины им. Н.Э. Баумана,60.0,-0.2,300,267,0,11,22,Да,Казанская государственная академия ветеринарной медицины им. Н.Э. Баумана,Не определено
Казанский (Приволжский) федеральный университет,77.3,0.4,1815,1599,11,110,95,Да,Казанский (Приволжский) федеральный университет,Не определено
Казанский государственный аграрный университет,61.3,2.7,313,215,0,9,89,Да,Казанский государственный аграрный университет,Не определено
Казанский государственный архитектурно-строительный университет,74.3,0.5,413,361,3,9,40,Нет,Казанский государственный архитектурно-строительный университет,Не определено
Казанский государственный медицинский университет,79.4,0.4,426,127,9,26,264,Да,Казанский государственный медицинский университет,Не определено
Казанский государственный энергетический университет,69.5,2.9,686,609,2,9,66,Нет,Казанский государственный энергетический университет,Не определено
Казанский национальный исследовательский технический университет им. А.Н.Туполева,71.4,2.3,1012,820,21,42,129,Да,Казанский национальный исследовательский технический университет им. А.Н.Туполева,Не определено
Казанский национальный исследовательский технологический университет,65.3,3.3,1485,1346,0,29,110,Нет,Казанский национальный исследовательский технологический университет,Не определено
Калининградский государственный технический университет,59.3,1.1,470,451,0,19,0,Да,Калининградский государственный технический университет,Не определено
"Калмыцкий государственный университет, г. Элиста",58.2,-1.2,722,663,0,37,22,Нет,Калмыцкий государственный университет, Элиста
Калужский государственный университет им. К.Э. Циолковского,72.1,2.5,387,317,2,30,38,Нет,Калужский государственный университет им. К.Э. Циолковского,Не определено
Калужский филиал Московского государственного технического университета им. Н.Э. Баумана,62.1,,471,386,0,7,78,Нет,Калужский филиал Московского государственного технического университета им. Н.Э. Баумана,Не определено
"Камчатский государственный технический университет, г. Петропавловск-Камчатский",54.1,-2.3,220,218,0,2,0,Нет,Камчатский государственный технический университет, Петропавловск-Камчатский
"Камчатский государственный университет им. Витуса Беринга, г. Петропавловск-Камчатский",62.3,,170,155,0,8,7,Нет,Камчатский государственный университет им. Витуса Беринга, Петропавловск-Камчатский
Карачаево-Черкесский государственный университет им. У.Д. Алиева,49.4,-4.5,414,392,0,22,0,Нет,Карачаево-Черкесский государственный университет им. У.Д. Алиева,Не определено
Кемеровский государственный медицинский университет,71.1,0.2,424,185,0,20,219,Нет,Кемеровский государственный медицинский университет,Не определено
Кемеровский государственный сельскохозяйственный институт,62.0,7.1,150,97,0,14,39,Нет,Кемеровский государственный сельскохозяйственный институт,Не определено
Кемеровский государственный университет,67.8,1.1,668,609,0,41,18,Нет,Кемеровский государственный университет,Не определено
Кемеровский технологический институт пищевой промышленности,64.0,1.4,497,473,0,20,4,Нет,Кемеровский технологический институт пищевой промышленности,Не определено
Кировский государственный медицинский университет,70.8,-1.6,365,116,0,5,244,Да,Кировский государственный медицинский университет,Не определено
Ковровская государственная технологическая академия им. В.А. Дегтярева,,,0,0,0,0,0,Нет,Ковровская государственная технологическая академия им. В.А. Дегтярева,Не определено
"Коми республиканская академия государственной службы и управления, г. Сыктывкар",65.1,-4.4,40,35,0,1,4,Нет,Коми республиканская академия государственной службы и управления, Сыктывкар
Комсомольский-на-Амуре государственный технический университет,60.4,-1.8,462,351,0,23,88,Нет,Комсомольский-на-Амуре государственный технический университет,Не определено
Костромская государственная сельскохозяйственная академия,55.2,3,330,313,0,4,13,Да,Костромская государственная сельскохозяйственная академия,Не определено
Костромской государственный университет им. Н.А. Некрасова,61.8,-4.3,612,519,0,17,76,Да,Костромской государственный университет им. Н.А. Некрасова,Не определено
Красноярский государственный аграрный университет,52.0,1.9,601,535,0,47,19,Нет,Красноярский государственный аграрный университет,Не определено
Красноярский государственный медицинский университет им. В.Ф. Войно-Ясенецкого,74.6,0.5,340,115,8,34,183,Да,Красноярский государственный медицинский университет им. В.Ф. Войно-Ясенецкого,Не определено
Красноярский государственный педагогический университет им. В.П. Астафьева,68.2,1.4,405,285,0,27,93,Да,Красноярский государственный педагогический университет им. В.П. Астафьева,Не определено
Крымский федеральный университет им. В.И. Вернадского,65.1,,2647,2354,0,92,201,Да,Крымский федеральный университет им. В.И. Вернадского,Не определено
"Кубанский государственный аграрный университет, г. Краснодар",65.8,1.2,861,781,0,25,55,Нет,Кубанский государственный аграрный университет, Краснодар
"Кубанский государственный медицинский университет, г. Краснодар",79.8,0.3,365,45,1,37,282,Да,Кубанский государственный медицинский университет, Краснодар
"Кубанский государственный технологический университет, г. Краснодар",69.3,0,606,537,4,26,39,Нет,Кубанский государственный технологический университет, Краснодар
"Кубанский государственный университет, г. Краснодар",73.3,-0.6,1667,1404,2,73,188,Да,Кубанский государственный университет, Краснодар
"Кузбасский государственный технический университет им. Т.Ф. Горбачева, г. Кемерово",55.5,-1.3,945,887,0,31,27,Нет,Кузбасский государственный технический университет им. Т.Ф. Горбачева, Кемерово
"Курганская государственная сельскохозяйственная академия им. Т.С. Мальцева, г. Лесниково",53.3,6.3,202,190,0,9,3,Да,Курганская государственная сельскохозяйственная академия им. Т.С. Мальцева, Лесниково
Курганский государственный университет,62.4,1.6,555,452,0,52,51,Нет,Курганский государственный университет,Не определено
Курская академия государственной и муниципальной службы,62.6,0.6,66,42,0,5,19,Нет,Курская академия государственной и муниципальной службы,Не определено
Курская государственная сельскохозяйственная академия,53.3,-3.9,272,168,0,12,92,Нет,Курская государственная сельскохозяйственная академия,Не определено
Курский государственный медицинский университет,74.0,0.3,454,218,1,22,213,Да,Курский государственный медицинский университет,Не определено
Курский государственный университет,70.5,0.2,559,446,1,51,61,Нет,Курский государственный университет,Не определено
"Ленинградский государственный университет им. А.С. Пушкина, г. Санкт-Петербург",73.1,-0.2,399,285,0,25,89,Да,Ленинградский государственный университет им. А.С. Пушкина, Санкт-Петербург
Липецкий государственный педагогический университет,65.0,3.1,526,407,3,28,88,Да,Липецкий государственный педагогический университет,Не определено
Липецкий государственный технический университет,59.6,-1.8,638,575,0,16,47,Нет,Липецкий государственный технический университет,Не определено
"Литературный институт им. А.М. Горького, г. Москва",81.3,-1,84,77,0,2,5,Да,Литературный институт им. А.М. Горького, Москва
Магнитогорский государственный технический университет им. Г.И. Носова,57.2,0.2,1179,1092,0,51,36,Нет,Магнитогорский государственный технический университет им. Г.И. Носова,Не определено
"Марийский государственный университет, г. Йошкар-Ола",62.1,-2.5,774,694,0,33,47,Да,Марийский государственный университет, Йошкар-Ола
"Международный университет природы, общества и человека ""Дубна""",63.3,2.2,508,372,1,11,124,Нет,"Международный университет природы, общества и человека ""Дубна""",Не определено
Мичуринский государственный аграрный университет,56.7,6.9,367,257,0,37,73,Да,Мичуринский государственный аграрный университет,Не определено
"Мордовский государственный педагогический институт им. М.Е. Евсевьева, г. Саранск",62.1,-1.7,390,272,0,21,97,Нет,Мордовский государственный педагогический институт им. М.Е. Евсевьева, Саранск
"Морской государственный университет им. адмирала Г.И. Невельского, г. Владивосток",55.6,0.7,573,541,0,16,16,Нет,Морской государственный университет им. адмирала Г.И. Невельского, Владивосток
Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина,74.7,1,273,190,0,19,64,Нет,Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина,Не определено
Московская государственная академия водного транспорта,53.3,1.7,248,244,0,4,0,Нет,Московская государственная академия водного транспорта,Не определено
Московский авиационный институт (национальный исследовательский университет),72.8,6.4,2648,1764,11,44,829,Да,Московский авиационный институт (национальный исследовательский университет),Не определено
Московский автомобильно-дорожный государственный технический университет (МАДИ),61.5,1.9,926,877,0,21,28,Да,Московский автомобильно-дорожный государственный технический университет (МАДИ),Не определено
Московский архитектурный институт (государственная академия),76.9,1.8,159,153,0,4,2,Да,Московский архитектурный институт (государственная академия),Не определено
Московский городской педагогический университет,79.0,1,1036,966,18,52,0,Да,Московский городской педагогический университет,Не определено
Московский городской психолого-педагогический университет,68.7,0.8,550,519,0,31,0,Нет,Московский городской психолого-педагогический университет,Не определено
Московский городской университет управления Правительства Москвы,,,0,0,0,0,0,Нет,Московский городской университет управления Правительства Москвы,Не определено
Московский государственный гуманитарно-экономический университет,77.0,2.2,125,32,0,93,0,Нет,Московский государственный гуманитарно-экономический университет,Не определено
Московский государственный институт индустрии туризма им. Ю.А. Сенкевича,69.8,-0.5,152,148,0,4,0,Да,Московский государственный институт индустрии туризма им. Ю.А. Сенкевича,Не определено
Московский государственный институт международных отношений,95.6,0.2,454,314,126,14,0,Да,Московский государственный институт международных отношений,Не определено
Московский государственный лингвистический университет,87.0,2.3,547,412,30,40,65,Да,Московский государственный лингвистический университет,Не определено
