"university_name, city",university_ege_2017,university_grow_2016_2017,university_gov_stidents_count,university_stidents_compet_count,university_stidents_olimp_count,university_stidents_quot_count,university_stidents_target_count,university_ege_minus_id,university_name,university_city
"Чеченский государственный педагогический институт, г. Грозный",60.2,3.7,706,447,0,60,199,Нет,Чеченский государственный педагогический институт, Грозный
"Чеченский государственный университет, г. Грозный",48.5,1.5,1773,1285,1,112,375,Да,Чеченский государственный университет, Грозный
Читинская государственная медицинская академия,65.0,-0.3,235,84,0,19,132,Да,Читинская государственная медицинская академия,Не определено
"Чувашская государственная сельскохозяйственная академия, г. Чебоксары",49.7,0.8,329,294,0,20,15,Нет,Чувашская государственная сельскохозяйственная академия, Чебоксары
"Чувашский государственный педагогический университет им. И.Я. Яковлева, г. Чебоксары",66.2,-3.7,404,339,0,17,48,Нет,Чувашский государственный педагогический университет им. И.Я. Яковлева, Чебоксары
"Чувашский государственный университет им. И.Н. Ульянова, г. Чебоксары",63.8,-4.9,916,862,0,30,24,Нет,Чувашский государственный университет им. И.Н. Ульянова, Чебоксары
Шадринский государственный педагогический институт,66.4,2.4,288,234,0,14,40,Нет,Шадринский государственный педагогический институт,Не определено
"Юго-Западный государственный университет, г. Курск",67.3,0.1,427,362,1,22,42,Да,Юго-Западный государственный университет, Курск
"Югорский государственный университет, г. Ханты-Мансийск",60.8,-0.8,585,547,0,15,23,Нет,Югорский государственный университет, Ханты-Мансийск
"Южно-Российский государственный политехнический университет им. М.И. Платова, г. Новочеркасск",55.5,-1.8,990,889,0,9,92,Да,Южно-Российский государственный политехнический университет им. М.И. Платова, Новочеркасск
"Южно-Российский институт управления - филиал РАНХиГС, г. Ростов-на-Дону",76.1,1.9,116,99,0,10,7,Да,Южно-Российский институт управления - филиал РАНХиГС, Ростов-на-Дону
"Южно-Уральский государственный аграрный университет, г. Троицк",56.1,3.4,409,374,0,22,13,Нет,Южно-Уральский государственный аграрный университет, Троицк
"Южно-Уральский государственный гуманитарно-педагогический университет (ЧГПУ), г. Челябинск",69.5,1.4,471,338,0,28,105,Нет,Южно-Уральский государственный гуманитарно-педагогический университет (ЧГПУ), Челябинск
"Южно-Уральский государственный медицинский университет, г. Челябинск",74.2,-1.3,445,146,0,31,268,Да,Южно-Уральский государственный медицинский университет, Челябинск
Южный федеральный университет,73.0,0.5,2053,1779,29,52,193,Да,Южный федеральный университет,Не определено
Якутская государственная сельскохозяйственная академия,60.3,7.6,312,279,0,23,10,Нет,Якутская государственная сельскохозяйственная академия,Не определено
Ярославская государственная медицинская академия,76.1,0,383,148,2,14,219,Да,Ярославская государственная медицинская академия,Не определено
Ярославская государственная сельскохозяйственная академия,52.6,0.5,215,199,0,6,10,Нет,Ярославская государственная сельскохозяйственная академия,Не определено
Ярославский государственный педагогический университет им. К.Д. Ушинского,70.4,2.3,434,326,0,26,82,Нет,Ярославский государственный педагогический университет им. К.Д. Ушинского,Не определено
Ярославский государственный технический университет,63.4,-0.3,641,618,0,8,15,Нет,Ярославский государственный технический университет,Не определено
Ярославский государственный университет им. П.Г. Демидова,72.7,-0.3,640,572,2,37,29,Да,Ярославский государственный университет им. П.Г. Демидова,Не определено
