,university_name,university_status,university_city,university_ball
353,Поволжский государственный университет телекоммуникаций и информатики,,Самара,"14,67"
354,Чувашская государственная сельскохозяйственная академия,,Чебоксары,"14,41"
355,Горно-Алтайский государственный университет,,Горно-Алтайск,"14,4"
356,Липецкий государственный педагогический университет им. П.П. Семенова-Тян-Шанского,,Липецк,"14,38"
357,Ухтинский государственный технический университет,,Ухта,"14,38"
358,Нижневартовский государственный университет,,Нижневартовск,"14,13"
359,Российский государственный аграрный заочный университет,,Балашиха,"13,89"
360,Московский государственный институт музыки им. А.Г. Шнитке,,Москва,"13,73"
361,Московский финансово-промышленный университет “Синергия”,,Москва,"13,7"
362,Горский государственный аграрный университет,,Владикавказ,"13,55"
363,Санкт-Петербургская государственная химико-фармацевтическая академия,,Санкт-Петербург,"13,37"
364,Кировский государственный медицинский университет,,Киров,"13,34"
365,Дальневосточный государственный аграрный университет,,Благовещенск,"13,22"
366,Университет Дубна,,Дубна,"13,16"
367,Академия труда и социальных отношений,,Москва,"13,08"
368,Грозненский государственный нефтяной технический университет им. М.Д. Миллионщикова,,Грозный,"12,75"
369,Кемеровский государственный институт культуры,,Кемерово,"12,73"
370,Иркутский государственный аграрный университет им. А.А. Ежевского,,Молодежный,"12,71"
371,Санкт-Петербургский государственный морской технический университет,,Санкт-Петербург,"12,67"
372,Амурская государственная медицинская академия,,Благовещенск,"12,58"
373,Пермская государственная фармацевтическая академия,,Пермь,"12,47"
374,Дагестанский государственный технический университет,,Махачкала,"12,36"
375,Санкт-Петербургский университет технологий управления и экономики,,Санкт-Петербург,"12,33"
376,Хабаровский государственный университет экономики и права,,Хабаровск,"12,16"
377,Вологодская государственная молочнохозяйственная академия им. Н.В. Верещагина,,Вологда,"12,06"
378,Московская государственная консерватория имени П.И. Чайковского,,Москва,"12,02"
379,Нижегородский государственный лингвистический университет им. Н.А. Добролюбова,,Нижний Новгород,"12,01"
380,Санкт-Петербургский государственный университет гражданской авиации,,Санкт-Петербург,"11,83"
381,Хакасский государственный университет им. Н.Ф. Катанова,национальный исследовательский университет,Абакан,"11,76"
382,Санкт-Петербургская государственная академия ветеринарной медицины,,Санкт-Петербург,"11,73"
383,Челябинский государственный институт культуры,,Челябинск,"11,67"
384,Государственный институт русского языка им. А.С. Пушкина,,Москва,"11,56"
385,Брянский государственный инженерно-технологический университет,,Брянск,"11,51"
386,Православный Свято-Тихоновский гуманитарный университет,,Москва,"11,43"
387,Краснодарский государственный институт культуры,,Краснодар,"11,38"
388,Барнаульский юридический институт МВД РФ,,Барнаул,"11,33"
